case_id,scenario,matched_cycles,baseline_collision,constrained_collision,baseline_pass,constrained_pass,pass_difference,baseline_deviation_deg,constrained_deviation_deg,deviation_difference_deg,baseline_progress_m,constrained_progress_m,baseline_min_gap_m,constrained_min_gap_m
static_000,static,200,0,0,0.99,0.985,-0.0050000000000000044,0.25094202618916883,0.3882260146183362,0.1372839884291674,1.736365673070198,0.05855310952158099,2.5614347068688423,3.8775604348851758
static_001,static,200,0,0,0.98,0.98,0.0,0.46639899213706715,0.4029765104528644,-0.06342248168420273,4.0289922920715,4.246126916909187,1.5823393486073085,1.5413712682938403
static_002,static,200,0,0,0.805,0.935,0.13,4.61650175478749,1.6850205066176218,-2.931481248169868,15.404624097914517,2.2617308552533597,0.7761831289292385,1.1876923410239222
static_003,static,200,0,0,0.88,0.955,0.07499999999999996,2.5120155516458196,1.016941302128708,-1.4950742495171117,3.0679062937637456,2.4498003982620746,0.9054163030014571,1.3275761590053112
static_004,static,200,0,0,0.97,0.97,0.0,0.6461660448172272,0.6061660448172271,-0.040000000000000036,3.5433909968674646,3.5433909968674646,1.596065278049929,1.596065278049929
static_005,static,200,0,0,0.995,0.995,0.0,0.10968542507780697,0.10968542507780697,0.0,2.515051832387094,2.515051832387094,3.4692111769682974,3.4692111769682974
static_006,static,200,0,0,0.975,0.975,0.0,0.40750251893877076,0.3613392609648163,-0.046163257973954486,2.8265933947462623,2.9813843779955667,1.3677927083671007,1.4220242961403464
static_007,static,200,0,0,0.74,0.95,0.20999999999999996,4.759337459911361,1.1716991623032837,-3.587638297608077,9.605607750916649,1.7507581367314442,0.08923324212640338,1.5215999085122986
static_008,static,200,0,0,0.775,0.97,0.19499999999999995,5.18162097467098,0.7238601588253017,-4.4577608158456785,6.052721630611588,1.4068304876129538,0.5781199089190916,1.575385807283978
static_009,static,200,0,0,0.945,0.965,0.020000000000000018,0.8012473823097045,0.967675939360136,0.16642855705043147,2.363090562294679,-0.44486101063826844,1.5210275499317754,2.6950983782743516
static_010,static,200,0,0,0.995,0.995,0.0,0.01725835581630381,0.01725835581630381,0.0,4.143418914749521,4.143418914749521,1.6268152950063364,1.6268152950063364
static_011,static,200,0,0,0.955,0.98,0.025000000000000022,0.8824793879045855,0.5268367324380415,-0.35564265546654394,3.472897367124596,2.947898584362962,1.336959680679786,1.7586688060492564
static_012,static,83,1,0,0.5060240963855421,0.927710843373494,0.42168674698795183,11.493301808689576,1.6203422729799917,-9.872959535709585,8.427177912352642,1.8614701361952086,-0.06840491000569426,1.335297181908337
static_013,static,78,1,0,0.5512820512820513,0.8717948717948718,0.3205128205128205,7.2262390112193655,2.4145449480429786,-4.811694063176387,8.568669654455004,2.176149338177976,-0.00967630983871648,1.198069723950347
static_014,static,65,1,0,0.46153846153846156,0.8615384615384616,0.4,10.271723393556679,3.7385363692268414,-6.5331870243298376,7.477872828243216,2.34270978130178,-0.04033306689244931,1.2240024699965262
static_015,static,200,0,0,0.945,0.935,-0.009999999999999898,0.8539064663931897,1.1978270304650886,0.34392056407189897,1.4474156378537657,1.2590932568052686,1.2573884630310335,1.414158678222456
static_016,static,200,0,0,0.925,0.97,0.04499999999999993,1.2079990146498298,0.7818211701305117,-0.42617784451931817,0.9267458901238301,0.9050472153923046,1.1077859706283322,1.2431688489616455
static_017,static,200,0,0,0.895,0.945,0.04999999999999993,1.7117319843562293,1.2944876660333557,-0.41724431832287356,1.1614964728098496,1.1722240210480726,1.15004005047229,1.2526418620418283
static_018,static,200,0,0,0.835,0.95,0.11499999999999999,3.47991725058906,1.3657976187824872,-2.114119631806573,2.9019282052488533,2.0782577080882696,0.877126222718814,1.1466642991580378
static_019,static,200,0,0,0.95,0.95,0.0,0.9866476630228314,1.1698169176563398,0.18316925463350842,5.269892847310727,4.781085397529809,1.1124571995088128,1.2385586590886355
static_020,static,200,0,0,0.945,0.96,0.015000000000000013,0.8437144649655757,0.7700566414233602,-0.0736578235422155,3.3588563487634735,3.201042869924172,1.1760625773357685,1.230672692497555
static_021,static,200,0,0,0.99,0.99,0.0,0.08640437143341653,0.21655800304871778,0.13015363161530125,2.422360883371285,1.7763954047781283,2.5519494440978514,3.080324018561017
static_022,static,81,1,0,0.6419753086419753,0.8518518518518519,0.2098765432098766,8.128945259791053,3.7680582559660025,-4.3608870038250505,8.75096317870748,1.9802688073613712,-0.01950137519380024,1.2515304180714522
static_023,static,200,0,0,0.97,0.965,-0.0050000000000000044,0.514032950373296,0.6170242813238865,0.10299133095059054,2.902959916480201,2.6942253085608385,1.2903802835065163,1.323277264328854
static_024,static,200,0,0,0.95,0.985,0.03500000000000003,0.4996463311964394,0.36511257473749303,-0.13453375645894639,4.858819698432969,2.601817514547829,1.264543033058509,2.2840975404201926
static_025,static,200,0,0,0.93,0.95,0.019999999999999907,1.322598937264438,1.2256442280248847,-0.0969547092395533,2.5188395756731676,2.212556365525188,1.0556776912004993,1.3492108617331449
static_026,static,71,1,0,0.6197183098591549,0.8028169014084507,0.18309859154929586,6.655099885179791,5.139325075209451,-1.51577480997034,8.183966089151776,2.8089504322285093,-0.08786175003075425,1.2201656598458492
static_027,static,200,0,0,0.99,0.99,0.0,0.12398164063359818,0.24398164063359817,0.12,3.534954747743635,3.240492697336858,2.2853481279379406,2.5270542726032237
static_028,static,200,0,0,0.925,0.97,0.04499999999999993,1.1550416821151297,0.6611390862372905,-0.49390259587783925,3.1383814803360712,2.0110549600088676,1.166467626511443,1.4978670538138577
static_029,static,200,0,0,0.845,0.945,0.09999999999999998,3.495238529997197,1.2186941465957473,-2.2765443834014496,5.781886262814547,3.0700555464455226,0.8734560238091842,1.1120394187792548
crossing_000,crossing,200,0,0,0.975,0.97,-0.0050000000000000044,0.26068924862871334,0.667553007034462,0.4068637584057486,1.364654460074597,0.356490895581393,2.4812816941070057,3.2588476367745995
crossing_001,crossing,200,0,0,0.97,0.98,0.010000000000000009,0.24989117677342063,0.5453719978461031,0.2954808210726825,2.4206690737301884,0.6494108986082967,1.8791201631698167,3.3424544903648736
crossing_002,crossing,200,0,0,0.985,0.985,0.0,0.2211740777608825,0.24145124668961088,0.020277168928728384,4.016731967987543,3.9879813782752684,2.6702737073180014,2.7523678848710635
crossing_003,crossing,200,0,0,0.625,0.935,0.31000000000000005,5.941303111808213,1.448884109618879,-4.492419002189334,9.460588509657482,3.1379050992154625,0.9817904876983881,1.4394325700101487
crossing_004,crossing,200,0,0,0.955,0.96,0.0050000000000000044,0.5679487883784533,0.8461355695997098,0.2781867812212565,0.19949778888178216,-0.2902155303266465,2.4772426139213,2.976408457373063
crossing_005,crossing,120,1,0,0.425,0.85,0.425,14.990244713104584,3.934570913520289,-11.055673799584294,9.071043073660018,0.9662520203668716,-0.03836906649712801,1.540432073501154
crossing_006,crossing,132,1,0,0.42424242424242425,0.8257575757575758,0.40151515151515155,10.964188543184248,3.5839729360539003,-7.3802156071303475,9.34359483944431,0.9113129656802812,-0.008236104031471347,2.107585974995214
crossing_007,crossing,200,0,0,0.98,0.985,0.0050000000000000044,0.11250890642735828,0.27585463300053853,0.16334572657318025,4.343233931548692,3.753642525913013,2.6979011687986407,2.936668435960585
crossing_008,crossing,200,0,0,0.975,0.95,-0.025000000000000022,0.21808519503647406,1.2618564043741396,1.0437712093376654,3.0626578361076,0.6420483898697107,3.657093052498986,5.578779526504172
crossing_009,crossing,200,0,0,0.98,0.98,0.0,0.3176943141512285,0.47769431415122854,0.16000000000000003,3.192390425145822,3.031582900151692,3.1715448571692533,3.385040400729438
crossing_010,crossing,200,0,0,0.935,0.97,0.03499999999999992,1.1922792907951174,0.6187638160117547,-0.5735154747833627,1.9889175911771524,1.9103179767217418,1.1294003037741465,1.605871037135733
crossing_011,crossing,66,1,0,0.5151515151515151,0.8636363636363636,0.3484848484848485,10.832342299737434,3.20752575851314,-7.624816541224294,7.180127432688916,1.8692532369775892,-0.03347041161247866,1.735283129413275
crossing_012,crossing,200,0,0,0.99,0.99,0.0,0.09305226277820725,0.1869844561842287,0.09393219340602146,2.3737652087128405,2.2504595230697735,2.773292676423414,3.041045735891818
crossing_013,crossing,200,0,0,0.96,0.945,-0.015000000000000013,0.636971253057079,1.2137330715707586,0.5767618185136796,0.14946265445337747,-0.42788130080470843,1.768506843517731,2.366036878423725
crossing_014,crossing,200,0,0,0.955,0.955,0.0,0.8267364710868987,0.9923874732013965,0.1656510021144978,1.1523034195754391,1.053929993363509,3.088242010190449,3.6494439984171203
crossing_015,crossing,200,0,0,0.955,0.955,0.0,0.6208403678357614,1.0078289925934116,0.3869886247576503,1.910422406810266,1.5774709499525308,2.7318596799416577,3.0230137167034368
crossing_016,crossing,106,1,0,0.41509433962264153,0.839622641509434,0.42452830188679247,14.171482297153677,3.909649949665986,-10.26183234748769,9.666516119472886,1.0997468468182987,-0.03680936503363985,1.4513756350613105
crossing_017,crossing,200,0,0,0.98,0.99,0.010000000000000009,0.2927378614123002,0.21886069502597658,-0.0738771663863236,1.0655974265858372,0.9447422101350682,4.818279655247833,5.045891166117494
crossing_018,crossing,200,0,0,0.93,0.96,0.029999999999999916,1.1118493162043488,1.0093548612118382,-0.10249445499251064,1.3882407211638483,0.5310319411820785,3.677581941550902,4.544800101865227
crossing_019,crossing,108,1,0,0.5462962962962963,0.8240740740740741,0.2777777777777778,9.703951232853658,4.3668321754250945,-5.337119057428564,8.569746062785368,0.7447287285559838,-0.002843892571454565,1.5336271277958744
crossing_020,crossing,200,0,0,0.955,0.96,0.0050000000000000044,0.6166626880397196,1.1448165665192422,0.5281538784795227,0.5097348667993895,-0.6267529927866011,1.9158149400265472,4.034926703687619
crossing_021,crossing,200,0,0,0.99,0.93,-0.05999999999999994,0.20366922441296925,1.5641171370768037,1.3604479126638345,4.915827070615049,0.4519288491931057,1.0345564208464932,1.5316598356852766
crossing_022,crossing,125,1,0,0.616,0.888,0.272,8.969438368855428,2.975014263399866,-5.994424105455562,10.489605869891513,2.380951844035037,-0.025464946657453802,2.1099600172377686
crossing_023,crossing,200,0,0,0.995,0.995,0.0,0.10958100727448877,0.10958100727448877,0.0,1.8538740767060933,1.8538740767060933,3.7109392607260263,3.7109392607260263
crossing_024,crossing,200,0,0,0.96,0.91,-0.04999999999999993,0.4224854815581262,2.3618080104050883,1.939322528846962,3.815819560214316,2.9003463087965047,1.4055669305673195,1.8438377352276922
crossing_025,crossing,126,1,0,0.42063492063492064,0.9047619047619048,0.48412698412698413,12.15455709873274,2.4815716479394045,-9.672985450793336,9.096182203930049,1.1483710177521527,-0.025024499186863003,1.5788523369201397
crossing_026,crossing,108,1,0,0.49074074074074076,0.7962962962962963,0.3055555555555555,13.042918421565465,4.409298597935115,-8.633619823630351,9.158009142574018,1.4566201027949308,-0.02171185316437818,1.436543273484867
crossing_027,crossing,200,0,0,0.99,0.99,0.0,0.2164449986233668,0.2164449986233668,0.0,1.4396010865882758,1.4396010865882758,3.387195493974599,3.387195493974599
crossing_028,crossing,146,1,0,0.5068493150684932,0.9178082191780822,0.410958904109589,9.369864626914843,2.054003427132982,-7.315861199781861,10.294617911719834,2.4130401411198736,-0.007185673867806219,1.8452632181337218
crossing_029,crossing,200,0,0,0.475,0.905,0.43000000000000005,5.3585311926203785,2.2966989742910204,-3.061832218329358,9.535765614828037,2.760844699857474,0.6108969413251538,1.5349975258396205
late_high_throttle_000,late_high_throttle,200,0,0,0.86,0.905,0.04500000000000004,2.7940280253883607,2.157600242033184,-0.6364277833551766,2.030091161817378,1.7665533504693034,1.003342403310876,1.0784929117921827
late_high_throttle_001,late_high_throttle,200,0,0,0.85,0.895,0.04500000000000004,2.941598314674928,2.078341730099148,-0.86325658457578,3.8419345091234223,4.277551806846252,1.0207437082780582,1.065715930643871
late_high_throttle_002,late_high_throttle,30,1,0,0.13333333333333333,0.26666666666666666,0.13333333333333333,10.019350530234886,18.03743620276686,8.018085672531972,4.757669670201686,1.2099520660642291,-0.04574247567612599,0.9663542662889947
